country,genres,name,ratings,time
США,"Ужасы, Триллеры, Драмы, Детективы, Зарубежные",Вдовий маяк,IMDb: 3.1 (350) Кинопоиск: 4.03 (306),87 мин.
Камерун,"Драмы, Зарубежные",Дневник рыбака,IMDb: 7.0 (33),143 мин.
Россия,"Драмы, Наши",Я свободен,IMDb: 4.4 (11),90 мин.
Швеция,"Драмы, Детективы, Зарубежные",Девушка и гиацинты,IMDb: 7.6 (700),89 мин.
США,"Драмы, Вестерны, Зарубежные",Вопрос чести,IMDb: 7.2 (1 280) Кинопоиск: 7.13 (133),111 мин.
"Великобритания, США","Драмы, Зарубежные",Городской ковбой,IMDb: 6.1 (1 407),111 мин.
"Франция, Италия","Драмы, Боевики, Мелодрамы, Зарубежные",Вдова Кудер,IMDb: 6.9 (1 467) Кинопоиск: 7.50 (521),92 мин.
"Венесуэла, Мексика","Триллеры, Ужасы, Зарубежные",Инфекция,IMDb: 5.4 (379) Кинопоиск: 4.93 (512),100 мин.
"Чехия, Словакия","Драмы, Зарубежные",Тайности,IMDb: 6.7 (464) Кинопоиск: 6.49 (101),95 мин.
Нидерланды,"Мелодрамы, Комедии, Зарубежные",Просто скажи да,IMDb: 4.1 (344),97 мин.
Россия,"Драмы, Наши",Сентенция,IMDb: 6.1 (13) Кинопоиск: 6.30 (279),90 мин.
Испания,"Боевики, Триллеры, Драмы, Криминал, Приключения, Детективы, Зарубежные",Тайное происхождение,IMDb: 6.1 (5 423) Кинопоиск: 5.77 (522),100 мин.
США,"Фэнтези, Комедии, Зарубежные",Фея-крёстная,IMDb: 6.1 (9 592) Кинопоиск: 5.70 (684),110 мин.
Франция,"Драмы, Мелодрамы, Криминал, Биографические, Зарубежные",Мадам Клод,IMDb: 5.4 (688),112 мин.
Испания,"Драмы, Триллеры, Боевики, Криминал, Приключения, Зарубежные",Высотка,IMDb: 5.8 (880),121 мин.
"Япония, США","Драмы, Мелодрамы, Криминал, Зарубежные",Останься,IMDb: 6.3 (102),95 мин.
США,"Фантастика, Боевики, Драмы, Триллеры, Зарубежные",Годзилла против Конга,IMDb: 6.7 (61 196) Кинопоиск: 6.42 (18 319),113 мин.
"США, Канада","Фантастика, Приключения, Зарубежные",Поступь хаоса,IMDb: 5.7 (7 910) Кинопоиск: 5.98 (2 702),109 мин.
Великобритания,"Драмы, Зарубежные",Призрак,IMDb: 5.4 (237),88 мин.
Индия,"Боевики, Драмы, Биографические, Исторические, Зарубежные",Танаджи: Невоспетый воин,IMDb: 7.6 (21 529),135 мин.
"Гонконг, Китай","Боевики, Комедии, Криминал, Зарубежные",Выход жирного дракона,IMDb: 5.7 (1 392) Кинопоиск: 5.95 (539),96 мин.
США,"Драмы, Триллеры, Мелодрамы, Криминал, Зарубежные",Забавная мордашка / Лицо с улыбкой,IMDb: 5.8 (262),95 мин.
США,"Боевики, Криминал, Зарубежные",Заказанный убийца,IMDb: 4.1 (1 313) Кинопоиск: 5.35 (184),93 мин.
Италия,"Драмы, Зарубежные",Лучшие годы,IMDb: 6.2 (1 299) Кинопоиск: 6.61 (366),129 мин.
США,"Фэнтези, Вестерны, Зарубежные",Чистилище,IMDb: 6.9 (3 669) Кинопоиск: 7.01 (698),94 мин.
Великобритания,"Документальные, Зарубежные",Это не игра,IMDb: 5.9 (171),97 мин.
СССР,"Драмы, Наши","Сумка, полная сердец",,84 мин.
Индонезия,"Ужасы, Триллеры, Зарубежные",Королева чёрной магии,IMDb: 6.6 (1 207) Кинопоиск: 5.70 (394),99 мин.
СССР,"Драмы, Наши",Знойный июль,IMDb: 5.7 (11) Кинопоиск: 6.45 (127),69 мин.
Франция,"Драмы, Зарубежные",Цветок зла,IMDb: 6.5 (2 984) Кинопоиск: 6.09 (305),104 мин.
"Италия, Франция, Алжир","Драмы, Зарубежные",Посторонний,IMDb: 7.2 (2 322) Кинопоиск: 7.18 (1 141),114 мин.
Япония,"Комедии, Зарубежные",Крутой учитель Онидзука,IMDb: 6.8 (1 025) Кинопоиск: 7.72 (3 536),108 мин.
США,"Драмы, Мелодрамы, Комедии, Мюзиклы, Зарубежные",Милая Чарити,IMDb: 7.0 (5 203) Кинопоиск: 7.53 (702),149 мин.
США,"Драмы, Приключения, Зарубежные",Зеленый огонь,IMDb: 5.9 (1 242) Кинопоиск: 6.34 (177),100 мин.
Россия,"Приключения, Фэнтези, Комедии, Наши",Конек-горбунок,IMDb: 5.9 (261) Кинопоиск: 6.78 (61 409),111 мин.
"Испания, США","Приключения, Комедии, Ужасы, Зарубежные",Тайна острова чудовищ,IMDb: 3.8 (750) Кинопоиск: 5.65 (445),100 мин.
США,"Боевики, Комедии, Криминал, Триллеры, Зарубежные",Большой калибр,IMDb: 5.0 (4 462) Кинопоиск: 6.07 (370),94 мин.
Япония,"Фантастика, Боевики, Ужасы, Зарубежные",Тэцуо: Человек-пуля,IMDb: 5.6 (1 750) Кинопоиск: 5.19 (308),71 мин.
США,"Фантастика, Ужасы, Зарубежные",Тварь из Чёрной Лагуны,IMDb: 7.0 (27 110) Кинопоиск: 6.68 (1 287),79 мин.
Швеция,"Комедии, Семейные, Зарубежные",Шайка юного Янсона и звезда переворота,IMDb: 2.7 (412),74 мин.
СССР,"Приключения, Семейные, Детские, Наши",Паруса моего детства,IMDb: 5.9 (10),71 мин.
Швеция,"Приключения, Комедии, Семейные, Зарубежные",Джим и пираты,IMDb: 6.1 (329),92 мин.
Франция,"Драмы, Мелодрамы, Комедии, Зарубежные",Моник,IMDb: 6.0 (704) Кинопоиск: 6.88 (352),92 мин.
"Италия, США","Драмы, Зарубежные","Стромболи, земля Божья",IMDb: 7.3 (6 065) Кинопоиск: 7.58 (809),101 мин.
США,"Комедии, Триллеры, Детективы, Зарубежные",Позднее шоу,IMDb: 6.9 (2 471) Кинопоиск: 6.54 (88),93 мин.
Япония,"Драмы, Мелодрамы, Исторические, Зарубежные",Жена шпиона,IMDb: 6.3 (438),115 мин.
Россия,"Драмы, Мелодрамы, Наши",Миленький ты мой...,IMDb: 6.2 (5),74 мин.
США,"Драмы, Фантастика, Ужасы, Зарубежные",Дух Франкенштейна / Призрак Франкенштейна,IMDb: 6.2 (5 618) Кинопоиск: 5.99 (534),67 мин.
Великобритания,"Фантастика, Ужасы, Зарубежные",Планета ужасов,IMDb: 3.9 (3 083) Кинопоиск: 3.62 (219),93 мин.
"США, Италия, Гондурас","Мелодрамы, Комедии, Зарубежные",Маленькие итальянские каникулы,IMDb: 3.9 (215),78 мин.
Австралия,"Фэнтези, Драмы, Триллеры, Детективы, Ужасы, Зарубежные",Арлекин,IMDb: 6.2 (1 254) Кинопоиск: 6.47 (181),95 мин.
Корея Южная,"Драмы, Триллеры, Зарубежные",Конец апреля,IMDb: 5.6 (220),120 мин.
Италия,"Комедии, Мелодрамы, Зарубежные",Противоположные полюсы,IMDb: 5.6 (606),90 мин.
Италия,"Комедии, Мелодрамы, Зарубежные",Все хотят этого,IMDb: 5.2 (386),85 мин.
США,"Ужасы, Зарубежные",Рассвет зверя,IMDb: 4.5 (69),82 мин.
СССР,"Драмы, Комедии, Мюзиклы, Наши",На подмостках сцены,IMDb: 7.0 (31) Кинопоиск: 7.24 (542),89 мин.
США,"Фэнтези, Триллеры, Ужасы, Зарубежные",Чернокнижник 3: Последняя битва,IMDb: 3.9 (1 958) Кинопоиск: 3.68 (1 087),91 мин.
СССР,"Семейные, Наши",Вот моя деревня...,IMDb: 6.8 (9) Кинопоиск: 6.64 (175),150 мин.
США,"Фантастика, Боевики, Зарубежные",Полицейский-каратист,IMDb: 2.7 (625) Кинопоиск: 4.43 (107),90 мин.
СССР,"Драмы, Зарубежные",Вот моя деревня...,IMDb: 6.3 (31) Кинопоиск: 6.73 (260),92 мин.
Великобритания,"Драмы, Криминал, Зарубежные",Убийство — дело семейное,IMDb: 6.5 (3 509),93 мин.
СССР,"Приключения, Семейные, Зарубежные",Происшествие,,80 мин.
Великобритания,"Комедии, Драмы, Мелодрамы, Зарубежные",Трава зеленее,IMDb: 6.5 (4 612) Кинопоиск: 6.45 (266),104 мин.
Франция,"Комедии, Драмы, Зарубежные",Просто черный,IMDb: 6.3 (1 142),90 мин.
СССР,"Драмы, Наши",Из жизни Федора Кузькина,IMDb: 7.7 (41) Кинопоиск: 7.92 (2 051),182 мин.
США,"Фантастика, Боевики, Ужасы, Зарубежные",Эволвер,IMDb: 5.6 (1 056) Кинопоиск: 6.56 (548),87 мин.
США,"Драмы, Детективы, Криминал, Зарубежные",Мой пистолет быстр,IMDb: 6.2 (588),90 мин.
"Аргентина, Испания","Драмы, Зарубежные",Последние изображения кораблекрушения,IMDb: 7.2 (322) Кинопоиск: 7.60 (109),131 мин.
Корея Южная,"Комедии, Мелодрамы, Семейные, Зарубежные",Брак по случайности,IMDb: 5.2 (73),87 мин.
"Австралия, США","Драмы, Триллеры, Криминал, Детективы, Зарубежные",Засуха,IMDb: 7.3 (3 328),117 мин.
Италия,"Комедии, Зарубежные","Боже мой, как низко я пала!",IMDb: 7.0 (482) Кинопоиск: 6.76 (364),108 мин.
США,"Приключения, Детективы, Исторические, Зарубежные",Эпоха вероломства,IMDb: 6.4 (207) Кинопоиск: 6.72 (141),93 мин.
country,genres,name,ratings,time
Камерун,"Драмы, Зарубежные",Дневник рыбака,IMDb: 7.0 (33),143 мин.
"США, Канада","Фантастика, Приключения, Зарубежные",Поступь хаоса,IMDb: 5.7 (7 910) Кинопоиск: 5.98 (2 702),109 мин.
США,"Фэнтези, Триллеры, Ужасы, Зарубежные",Чернокнижник 3: Последняя битва,IMDb: 3.9 (1 958) Кинопоиск: 3.68 (1 087),91 мин.
Великобритания,"Комедии, Драмы, Мелодрамы, Зарубежные",Трава зеленее,IMDb: 6.5 (4 612) Кинопоиск: 6.45 (266),104 мин.
СССР,"Семейные, Наши",Вот моя деревня...,IMDb: 6.8 (9) Кинопоиск: 6.64 (175),150 мин.
США,"Ужасы, Зарубежные",Рассвет зверя,IMDb: 4.5 (69),82 мин.
СССР,"Драмы, Зарубежные",Вот моя деревня...,IMDb: 6.3 (31) Кинопоиск: 6.73 (260),92 мин.
Великобритания,"Драмы, Криминал, Зарубежные",Убийство — дело семейное,IMDb: 6.5 (3 509),93 мин.
США,"Фантастика, Боевики, Зарубежные",Полицейский-каратист,IMDb: 2.7 (625) Кинопоиск: 4.43 (107),90 мин.
Франция,"Комедии, Драмы, Зарубежные",Просто черный,IMDb: 6.3 (1 142),90 мин.
США,"Фэнтези, Комедии, Зарубежные",Фея-крёстная,IMDb: 6.1 (9 592) Кинопоиск: 5.70 (684),110 мин.
США,"Фантастика, Боевики, Ужасы, Зарубежные",Эволвер,IMDb: 5.6 (1 056) Кинопоиск: 6.56 (548),87 мин.
Корея Южная,"Комедии, Мелодрамы, Семейные, Зарубежные",Брак по случайности,IMDb: 5.2 (73),87 мин.
СССР,"Драмы, Наши",Из жизни Федора Кузькина,IMDb: 7.7 (41) Кинопоиск: 7.92 (2 051),182 мин.
Испания,"Боевики, Триллеры, Драмы, Криминал, Приключения, Детективы, Зарубежные",Тайное происхождение,IMDb: 6.1 (5 423) Кинопоиск: 5.77 (522),100 мин.
"Аргентина, Испания","Драмы, Зарубежные",Последние изображения кораблекрушения,IMDb: 7.2 (322) Кинопоиск: 7.60 (109),131 мин.
США,"Драмы, Детективы, Криминал, Зарубежные",Мой пистолет быстр,IMDb: 6.2 (588),90 мин.
СССР,"Приключения, Семейные, Зарубежные",Происшествие,,80 мин.
Индия,"Боевики, Драмы, Биографические, Исторические, Зарубежные",Танаджи: Невоспетый воин,IMDb: 7.6 (21 529),135 мин.
Великобритания,"Драмы, Зарубежные",Призрак,IMDb: 5.4 (237),88 мин.
Великобритания,"Документальные, Зарубежные",Это не игра,IMDb: 5.9 (171),97 мин.
Индонезия,"Ужасы, Триллеры, Зарубежные",Королева чёрной магии,IMDb: 6.6 (1 207) Кинопоиск: 5.70 (394),99 мин.
"Гонконг, Китай","Боевики, Комедии, Криминал, Зарубежные",Выход жирного дракона,IMDb: 5.7 (1 392) Кинопоиск: 5.95 (539),96 мин.
США,"Драмы, Триллеры, Мелодрамы, Криминал, Зарубежные",Забавная мордашка / Лицо с улыбкой,IMDb: 5.8 (262),95 мин.
США,"Боевики, Криминал, Зарубежные",Заказанный убийца,IMDb: 4.1 (1 313) Кинопоиск: 5.35 (184),93 мин.
Италия,"Драмы, Зарубежные",Лучшие годы,IMDb: 6.2 (1 299) Кинопоиск: 6.61 (366),129 мин.
США,"Фэнтези, Вестерны, Зарубежные",Чистилище,IMDb: 6.9 (3 669) Кинопоиск: 7.01 (698),94 мин.
СССР,"Драмы, Наши",Знойный июль,IMDb: 5.7 (11) Кинопоиск: 6.45 (127),69 мин.
"Италия, Франция, Алжир","Драмы, Зарубежные",Посторонний,IMDb: 7.2 (2 322) Кинопоиск: 7.18 (1 141),114 мин.
Франция,"Драмы, Зарубежные",Цветок зла,IMDb: 6.5 (2 984) Кинопоиск: 6.09 (305),104 мин.
Япония,"Комедии, Зарубежные",Крутой учитель Онидзука,IMDb: 6.8 (1 025) Кинопоиск: 7.72 (3 536),108 мин.
США,"Драмы, Приключения, Зарубежные",Зеленый огонь,IMDb: 5.9 (1 242) Кинопоиск: 6.34 (177),100 мин.
США,"Драмы, Мелодрамы, Комедии, Мюзиклы, Зарубежные",Милая Чарити,IMDb: 7.0 (5 203) Кинопоиск: 7.53 (702),149 мин.
"Испания, США","Приключения, Комедии, Ужасы, Зарубежные",Тайна острова чудовищ,IMDb: 3.8 (750) Кинопоиск: 5.65 (445),100 мин.
СССР,"Драмы, Наши","Сумка, полная сердец",,84 мин.
Россия,"Приключения, Фэнтези, Комедии, Наши",Конек-горбунок,IMDb: 5.9 (261) Кинопоиск: 6.78 (61 409),111 мин.
США,"Фантастика, Ужасы, Зарубежные",Тварь из Чёрной Лагуны,IMDb: 7.0 (27 110) Кинопоиск: 6.68 (1 287),79 мин.
США,"Боевики, Комедии, Криминал, Триллеры, Зарубежные",Большой калибр,IMDb: 5.0 (4 462) Кинопоиск: 6.07 (370),94 мин.
Япония,"Фантастика, Боевики, Ужасы, Зарубежные",Тэцуо: Человек-пуля,IMDb: 5.6 (1 750) Кинопоиск: 5.19 (308),71 мин.
Швеция,"Комедии, Семейные, Зарубежные",Шайка юного Янсона и звезда переворота,IMDb: 2.7 (412),74 мин.
Швеция,"Приключения, Комедии, Семейные, Зарубежные",Джим и пираты,IMDb: 6.1 (329),92 мин.
СССР,"Приключения, Семейные, Детские, Наши",Паруса моего детства,IMDb: 5.9 (10),71 мин.
Франция,"Драмы, Мелодрамы, Комедии, Зарубежные",Моник,IMDb: 6.0 (704) Кинопоиск: 6.88 (352),92 мин.
США,"Комедии, Триллеры, Детективы, Зарубежные",Позднее шоу,IMDb: 6.9 (2 471) Кинопоиск: 6.54 (88),93 мин.
Австралия,"Фэнтези, Драмы, Триллеры, Детективы, Ужасы, Зарубежные",Арлекин,IMDb: 6.2 (1 254) Кинопоиск: 6.47 (181),95 мин.
"Италия, США","Драмы, Зарубежные","Стромболи, земля Божья",IMDb: 7.3 (6 065) Кинопоиск: 7.58 (809),101 мин.
Япония,"Драмы, Мелодрамы, Исторические, Зарубежные",Жена шпиона,IMDb: 6.3 (438),115 мин.
Россия,"Драмы, Мелодрамы, Наши",Миленький ты мой...,IMDb: 6.2 (5),74 мин.
США,"Драмы, Фантастика, Ужасы, Зарубежные",Дух Франкенштейна / Призрак Франкенштейна,IMDb: 6.2 (5 618) Кинопоиск: 5.99 (534),67 мин.
Великобритания,"Фантастика, Ужасы, Зарубежные",Планета ужасов,IMDb: 3.9 (3 083) Кинопоиск: 3.62 (219),93 мин.
"США, Италия, Гондурас","Мелодрамы, Комедии, Зарубежные",Маленькие итальянские каникулы,IMDb: 3.9 (215),78 мин.
Корея Южная,"Драмы, Триллеры, Зарубежные",Конец апреля,IMDb: 5.6 (220),120 мин.
Италия,"Комедии, Мелодрамы, Зарубежные",Противоположные полюсы,IMDb: 5.6 (606),90 мин.
Италия,"Комедии, Мелодрамы, Зарубежные",Все хотят этого,IMDb: 5.2 (386),85 мин.
СССР,"Драмы, Комедии, Мюзиклы, Наши",На подмостках сцены,IMDb: 7.0 (31) Кинопоиск: 7.24 (542),89 мин.
США,"Ужасы, Триллеры, Драмы, Детективы, Зарубежные",Вдовий маяк,IMDb: 3.1 (350) Кинопоиск: 4.03 (306),87 мин.
Россия,"Драмы, Наши",Я свободен,IMDb: 4.4 (11),90 мин.
"Великобритания, США","Драмы, Зарубежные",Городской ковбой,IMDb: 6.1 (1 407),111 мин.
Швеция,"Драмы, Детективы, Зарубежные",Девушка и гиацинты,IMDb: 7.6 (700),89 мин.
"Венесуэла, Мексика","Триллеры, Ужасы, Зарубежные",Инфекция,IMDb: 5.4 (379) Кинопоиск: 4.93 (512),100 мин.
"Чехия, Словакия","Драмы, Зарубежные",Тайности,IMDb: 6.7 (464) Кинопоиск: 6.49 (101),95 мин.
"Франция, Италия","Драмы, Боевики, Мелодрамы, Зарубежные",Вдова Кудер,IMDb: 6.9 (1 467) Кинопоиск: 7.50 (521),92 мин.
Нидерланды,"Мелодрамы, Комедии, Зарубежные",Просто скажи да,IMDb: 4.1 (344),97 мин.
Франция,"Драмы, Мелодрамы, Криминал, Биографические, Зарубежные",Мадам Клод,IMDb: 5.4 (688),112 мин.
"Япония, США","Драмы, Мелодрамы, Криминал, Зарубежные",Останься,IMDb: 6.3 (102),95 мин.
Испания,"Драмы, Триллеры, Боевики, Криминал, Приключения, Зарубежные",Высотка,IMDb: 5.8 (880),121 мин.
США,"Драмы, Вестерны, Зарубежные",Вопрос чести,IMDb: 7.2 (1 280) Кинопоиск: 7.13 (133),111 мин.
Россия,"Драмы, Наши",Сентенция,IMDb: 6.1 (13) Кинопоиск: 6.30 (279),90 мин.
США,"Приключения, Детективы, Исторические, Зарубежные",Эпоха вероломства,IMDb: 6.4 (207) Кинопоиск: 6.72 (141),93 мин.
"Австралия, США","Драмы, Триллеры, Криминал, Детективы, Зарубежные",Засуха,IMDb: 7.3 (3 328),117 мин.
Италия,"Комедии, Зарубежные","Боже мой, как низко я пала!",IMDb: 7.0 (482) Кинопоиск: 6.76 (364),108 мин.
США,"Фантастика, Боевики, Драмы, Триллеры, Зарубежные",Годзилла против Конга,IMDb: 6.7 (61 196) Кинопоиск: 6.42 (18 319),113 мин.
